HSNCode,Description of Goods,CGST,SGST,IGST
0,"Parts    of goods of headings 8901, 8902, 8904, 8905, 8906, 8907",2.5,2.5,5
3,"Fish seeds,    prawn / shrimp seeds whether or not processed, cured or in frozen state    [other than goods falling under Chapter 3 and attracting 2.5%]",0,0,0
6,"Live    trees and other plants; bulbs, roots and the like; cut flowers and ornamental    foliage ",0,0,0
7,"Herb,    bark, dry plant, dry root, commonly known as jaribooti and dry flower",2.5,2.5,5
8,"Dried makhana,    whether or not shelled or peeled other than those put up in unit container    and,- 
  (a) bearing a registered brand name; or 
  (b) bearing a brand name on which an actionable claim or enforceable right    in a court of law is available [other than those where any actionable claim    or enforceable right in respect of such brand name has been foregone    voluntarily], subject to the conditions as in the ANNEXURE I]",0,0,0
12,All    goods other than of seed quality,2.5,2.5,5
13,Tamarind    kernel powder,2.5,2.5,5
27,Bio-gas,2.5,2.5,5
28,Potassium    Iodate,6,6,12
29,All    organic chemicals other than giberellic acid,9,9,18
30,Formulations    manufactured from the bulk drugs specified in List 2 appended to this    Schedule,2.5,2.5,5
32,"Wattle    extract, quebracho extract, chestnut extract",2.5,2.5,5
46,"Khali Dona; Goods made of sal leaves, siali leaves, sisal leaves, sabai grass, including sabai grass rope",0,0,0
48,"Paper    splints for matches, whether or not waxed, Asphaltic roofing sheets",6,6,12
52,Gandhi    Topi,0,0,0
53,"Coir pith compost other than those put up in unit container and, - (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available [other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily, subject to the conditions as in the ANNEXURE I]",0,0,0
55,"Khadi    fabric, sold through Khadi and Village Industries Commission(KVIC) and KVIC    certified institutions/outlets",0,0,0
57,Handmade carpets and other handmade textile floor coverings (including namda/gabba),2.5,2.5,5
60,Knitted    or crocheted fabrics [All goods],2.5,2.5,5
61,"Article of apparel and clothing accessories or cap/topi, knitted or crocheted, of sale value not exceeding Rs
1000 per piece",2.5,2.5,5
